name,hydrophobicity,top_1_sequence(s),bottom_1_sequence(s)
tr|A0A3G9JYU1|A0A3G9JYU1_ADE04,-0.557936507936508,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9JTQ7|A0A3G9JTQ7_ADE04,-0.5725641025641018,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9JTZ5|A0A3G9JTZ5_ADE04,-0.42873931623931555,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9JUF6|A0A3G9JUF6_ADE04,-0.6080392156862724,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9JUG9|A0A3G9JUG9_ADE04,-0.5937823834196894,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9JUH9|A0A3G9JUH9_ADE04,-0.3951541850220265,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9JZK0|A0A3G9JZK0_ADE04,-0.4913595933926284,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9K6S8|A0A3G9K6S8_ADE04,-0.4276613579212051,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9K956|A0A3G9K956_ADE04,-0.3446601941747576,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9KA06|A0A3G9KA06_ADE04,-0.5822934232715002,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A5H2V7D1|A0A5H2V7D1_ADE04,-0.4181089743589737,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9JUP5|A0A3G9JUP5_ADE04,0.01901408450704226,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9JZW1|A0A3G9JZW1_ADE04,-0.39401869158878494,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9K5X3|A0A3G9K5X3_ADE04,-0.584153005464481,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9K920|A0A3G9K920_ADE04,-0.37353535353535317,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9K9C2|A0A3G9K9C2_ADE04,0.12413793103448265,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9JTY3|A0A3G9JTY3_ADE04,0.018274111675126964,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9JTY6|A0A3G9JTY6_ADE04,-0.2622641509433962,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9JU17|A0A3G9JU17_ADE04,-0.005426356589147302,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9JU39|A0A3G9JU39_ADE04,-0.26208530805687225,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9JUB4|A0A3G9JUB4_ADE04,-0.010655737704918176,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9JUD3|A0A3G9JUD3_ADE04,-0.15284280936454847,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9JUM0|A0A3G9JUM0_ADE04,-0.4657458563535914,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9JUS9|A0A3G9JUS9_ADE04,-0.17169811320754708,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9JZN5|A0A3G9JZN5_ADE04,-0.8079178885630494,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9K3W8|A0A3G9K3W8_ADE04,-1.1409356725146198,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9K420|A0A3G9K420_ADE04,-0.10342465753424687,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
tr|A0A3G9K6E5|A0A3G9K6E5_ADE04,-0.26240601503759414,tr|A0A3G9K9W6|A0A3G9K9W6_ADE04,tr|A0A3G9K3W8|A0A3G9K3W8_ADE04
